stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:49:646:0:8","WestbahnstraÃŸe/KaiserstraÃŸe","48.20205106","16.34041790","0100"
"at:49:647:0:1","Kalksburg Kirchenplatz","48.13776080","16.24498088","0100"
"at:49:647:0:2","Kalksburg Kirchenplatz","48.13762891","16.24498088","0100"
"at:49:648:0:1","Kammerergasse","48.24460923","16.31887630","0100"
"at:49:648:0:2","Kammerergasse","48.24475280","16.31824748","0100"
"at:49:649:0:1","KanalstraÃŸe","48.21289296","16.45616582","0100"
"at:49:649:0:2","KanalstraÃŸe","48.21277324","16.45561785","0100"
"at:49:649:0:3","KanalstraÃŸe","48.21244999","16.45594125","0100"
"at:49:65:0:1","Liebhartstal","48.21558661","16.29176514","0100"
"at:49:650:0:1","WulzendorfstraÃŸe","48.21560457","16.46844579","0100"
"at:49:650:0:2","WulzendorfstraÃŸe","48.21545493","16.46811342","0100"
"at:49:650:0:3","WulzendorfstraÃŸe","48.21556865","16.46863444","0100"
"at:49:650:0:4","WulzendorfstraÃŸe","48.21534718","16.46805952","0100"
"at:49:651:0:1","Kapellergasse","48.24989137","16.48160611","0100"
"at:49:651:0:2","Kapellergasse","48.24782165","16.48554972","0100"
"at:49:652:0:1","Kappgasse","48.18621813","16.42275748","0100"
"at:49:652:0:2","Kappgasse","48.18633193","16.42277545","0100"
"at:49:653:0:1","Kardinal-Nagl-Platz","48.19721308","16.40058706","0100"
"at:49:653:0:2","Kardinal-Nagl-Platz","48.19796156","16.40139554","0100"
"at:49:653:0:3","Kardinal-Nagl-Platz","48.19714122","16.40049723","0100"
"at:49:653:0:4","Kardinal-Nagl-Platz","48.19785977","16.40131469","0100"
"at:49:653:0:5","Kardinal-Nagl-Platz U","48.19705739","16.40192555","0100"
"at:49:654:0:1","Karl-MeiÃŸl-StraÃŸe","48.22846032","16.37360167","0100"
"at:49:654:0:2","Karl-MeiÃŸl-StraÃŸe","48.22837654","16.37371845","0100"
"at:49:655:0:1","Karl-Schwed-Gasse","48.14964718","16.27729329","0100"
"at:49:655:0:2","Karl-Schwed-Gasse","48.14946738","16.27700582","0100"
"at:49:657:0:10","Karlsplatz","48.20103321","16.36922687","0100"
"at:49:657:0:11","Karlsplatz U","48.20039853","16.36955925","0100"
"at:49:657:0:12","Karlsplatz U","48.20033267","16.36971196","0100"
"at:49:657:0:13","Karlsplatz","48.20096136","16.36919992","0100"
"at:49:657:0:14","Karlsplatz","48.20034465","16.36963111","0100"
"at:49:657:0:15","Karlsplatz","48.20124876","16.36890348","0100"
"at:49:657:0:2","Karlsplatz","48.20155411","16.36910111","0100"
"at:49:657:0:4","Karlsplatz U","48.20065001","16.36951433","0100"
"at:49:657:0:6","Karlsplatz U","48.20062606","16.36960416","0100"
"at:49:657:0:7","Karlsplatz","48.20034465","16.36599294","0100"
"at:49:657:0:8","Karlsplatz","48.20123079","16.36899331","0100"
"at:49:657:0:9","Karlsplatz","48.20039255","16.36965806","0100"
"at:49:658:0:1","Arsenalsteg","48.18045622","16.38858557","0100"
"at:49:658:0:2","Arsenalsteg","48.18070181","16.38854065","0100"
