route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"24-N43-j25-1","04","N43","Schottentor - Neuwaldegg","3","0A295D","FFFFFF"
"24-N46-j25-1","04","N46","Oper/Karlsplatz - Joachimsthalerplatz","3","0A295D","FFFFFF"
"24-N49-j25-1","04","N49","Oper/Karlsplatz - Hütteldorf, Bujattigasse","3","0A295D","FFFFFF"
"24-N49-j25-2","04","N49","Oper/Karlsplatz - Hütteldorf, Bujattigasse Baustellenfahrplan","3","0A295D","FFFFFF"
"24-N49-j25-3","04","N49","Oper/Karlsplatz - Hütteldorf, Bujattigasse","3","0A295D","FFFFFF"
"24-N60-j25-1","04","N60","Oper/Karlsplatz - Rodaun","3","0A295D","FFFFFF"
"24-N62-j25-1","04","N62","Oper/Karlsplatz - Speising, Hermesstraße","3","0A295D","FFFFFF"
"24-N62-j25-90","04","N62","Oper/Karlsplatz - Speising, Hermesstraße","3","0A295D","FFFFFF"
"24-N65-j25-1","04","N65","Reumannplatz - Liesing Baustellenfahrplan gültig von 13.12.2023 bis voraussichtlich Mai 2025","3","0A295D","FFFFFF"
"24-N65-j25-2","04","N65","Reumannplatz - Liesing","3","0A295D","FFFFFF"
"24-N65-j25-90","04","N65","Reumannplatz - Liesing Baustellenfahrplan gültig bis voraussichtlich April 2025","3","0A295D","FFFFFF"
"24-N66-j25-1","04","N66","Oper/Karlsplatz - Liesing","3","0A295D","FFFFFF"
"24-N67-j25-1","04","N67","Quellenplatz - Inzersdorf, Großmarkt","3","0A295D","FFFFFF"
"24-N71-j25-1","04","N71","Oper/Karlsplatz - Kaiserebersdorf, Zinnergasse","3","0A295D","FFFFFF"
"24-N75-j25-1","04","N75","Oper/Karlsplatz - Gasometer","3","0A295D","FFFFFF"
"25-25B-j25-1","04","25B","Süßenbrunner Platz - Gerasdorf Postamt","3","",""
"25-41A-j25-1","04","41A","Pötzleinsdorf - Neustifter Friedhof 3.Tor","3","",""
"25-44B-j25-1","04","44B","Dornbach - Predigtstuhl","3","",""
"25-49B-j25-1","04","49B","Vorderhainbach/Augustinerwaldgasse - Hinterhainbach","3","",""
"25-49B-j25-2","04","49B","Vorderhainbach/Augustinerwaldgasse - Hinterhainbach","3","",""
"25-49B-j25-3","04","49B","Vorderhainbach/Augustinerwaldgasse - Hinterhainbach","3","",""
"25-86A-j25-1","04","86A","Stadlau - Breitenlee, Arnikaweg","3","",""
"25-89A-j25-1","04","89A","Seestadt - Invalidensiedlung Baustellenfahrplan gültig von 02.07. bis vsl. September 2025","3","",""
"25-N17-j25-1","04","N17","Himberger Straße - Unterlaa","3","",""
"25-N24-F-j25-1","04","N24","Neueßling - Kagraner Platz","3","",""
"25-N24-W-j25-1","04","N24","Kagraner Platz - Am Heidjöchl","3","",""
"25-N30-j25-1","04","N30","Floridsdorf - Neu Leopoldau","3","",""
"25-N30-j25-2","04","N30","Floridsdorf - Neu Leopoldau","3","",""
"25-N30-j25-90","04","N30","Floridsdorf - Neu Leopoldau Baustellenfahrplan gültig bis vsl. April 2025","3","",""
"25-N30-j25-91","04","N30","Floridsdorf - Neu Leopoldau Baustellenfahrplan gültig bis vsl. April 2025","3","",""
